Seed:,Runtime:,Reward of Final Program:,Final program:
1,60.381856,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) WHILE c( frontIsClear c) w( move w) m)
2,51.50835000000001,0.0625,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,56.92085999999999,0.0625,DEF run m( REPEAT R=2 r( WHILE c( leftIsClear c) w( turnLeft w) move turnRight r) m)
4,51.451222,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,51.35717900000003,0.0625,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,51.80087599999996,0.0625,DEF run m( turnLeft move turnRight turnLeft move m)
7,51.080915000000005,0.0625,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,51.59846900000002,0.0625,DEF run m( REPEAT R=7 r( turnLeft move turnRight r) m)
9,51.247202999999956,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( IF c( leftIsClear c) i( turnRight i) e) move m)
10,50.944373999999925,0.0625,DEF run m( turnLeft move IF c( frontIsClear c) i( move i) REPEAT R=6 r( putMarker r) m)
11,51.472038,0.0625,DEF run m( WHILE c( frontIsClear c) w( turnLeft w) turnRight IF c( not c( leftIsClear c) c) i( move move i) m)
12,51.562691000000086,0.125,DEF run m( turnLeft move WHILE c( markersPresent c) w( turnLeft w) move turnRight WHILE c( noMarkersPresent c) w( move w) m)
13,51.87349700000004,0.0625,DEF run m( turnLeft move IFELSE c( leftIsClear c) i( move WHILE c( rightIsClear c) w( move w) i) ELSE e( move e) m)
14,51.96499399999993,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) putMarker move IF c( leftIsClear c) i( move i) m)
15,51.906488999999965,0.0625,DEF run m( REPEAT R=6 r( turnLeft move putMarker IF c( frontIsClear c) i( move i) r) m)
16,50.57906000000003,0.0625,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,51.830225999999925,0.0625,DEF run m( REPEAT R=2 r( WHILE c( leftIsClear c) w( turnLeft w) REPEAT R=1 r( move r) r) m)
18,51.33838700000001,0.0625,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( turnRight e) move putMarker m)
19,52.91564699999992,0.0625,DEF run m( REPEAT R=7 r( putMarker r) turnLeft WHILE c( frontIsClear c) w( move w) m)
20,51.384806000000026,0.0625,DEF run m( turnLeft move IF c( leftIsClear c) i( putMarker i) move WHILE c( noMarkersPresent c) w( move w) m)
