Seed:,Runtime:,Reward of Final Program:,Final program:
1,55.476763999999996,0.125,DEF run m( turnLeft move move turnRight move WHILE c( frontIsClear c) w( move w) REPEAT R=0 r( move r) m)
2,53.316348999999995,0.0625,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,51.371645999999984,0.125,DEF run m( turnLeft move move turnRight WHILE c( frontIsClear c) w( move w) WHILE c( frontIsClear c) w( move turnRight w) m)
4,51.86666100000002,0.0625,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,52.28800699999999,0.125,DEF run m( WHILE c( leftIsClear c) w( turnLeft move w) move turnRight move WHILE c( frontIsClear c) w( move w) m)
6,51.77061200000003,0.0625,DEF run m( turnLeft move turnRight turnLeft move m)
7,51.95151100000004,0.0625,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,53.77591899999999,0.125,DEF run m( WHILE c( leftIsClear c) w( turnLeft w) move move turnRight WHILE c( noMarkersPresent c) w( move w) m)
9,53.305136000000005,0.125,DEF run m( WHILE c( leftIsClear c) w( turnLeft w) move move putMarker turnRight WHILE c( frontIsClear c) w( move w) m)
10,51.88126699999998,0.125,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( turnLeft pickMarker e) move turnRight WHILE c( noMarkersPresent c) w( move w) m)
11,52.188541999999984,0.125,DEF run m( turnLeft move move WHILE c( leftIsClear c) w( move w) turnRight move WHILE c( frontIsClear c) w( move w) turnRight move m)
12,52.01974299999995,0.125,DEF run m( turnLeft move WHILE c( markersPresent c) w( turnLeft w) move turnRight WHILE c( noMarkersPresent c) w( move w) m)
13,52.33204500000011,0.125,DEF run m( turnLeft move move turnRight turnLeft turnRight WHILE c( frontIsClear c) w( move w) turnRight turnRight turnLeft m)
14,52.57418899999993,0.0625,DEF run m( IFELSE c( frontIsClear c) i( turnLeft move i) ELSE e( move e) putMarker move IF c( leftIsClear c) i( move i) m)
15,52.479891000000066,0.125,DEF run m( turnLeft move move turnRight move move move move move IF c( not c( rightIsClear c) c) i( putMarker i) move move move move m)
16,52.36480900000004,0.125,DEF run m( turnLeft move move turnRight move WHILE c( frontIsClear c) w( move w) m)
17,52.63580400000001,0.125,DEF run m( turnLeft move move turnRight WHILE c( noMarkersPresent c) w( move w) pickMarker putMarker m)
18,51.879524999999944,0.125,DEF run m( IF c( frontIsClear c) i( turnLeft move i) move turnRight WHILE c( frontIsClear c) w( putMarker move w) IF c( frontIsClear c) i( putMarker i) m)
19,52.56087400000001,0.125,DEF run m( turnLeft move move WHILE c( frontIsClear c) w( turnRight WHILE c( frontIsClear c) w( move w) w) m)
20,51.55267700000002,0.125,DEF run m( turnLeft move putMarker move IF c( noMarkersPresent c) i( turnRight i) REPEAT R=5 r( move r) putMarker pickMarker m)
