Seed:,Runtime:,Reward of Final Program:,Final program:
1,78.07186999999999,0.125,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,78.08559600000012,0.0625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) move putMarker move m)
3,77.76842199999987,0.125,DEF run m( IF c( frontIsClear c) i( move i) move turnLeft move move turnRight move move move m)
4,77.65956000000006,0.125,DEF run m( REPEAT R=5 r( move move WHILE c( not c( frontIsClear c) c) w( putMarker turnRight w) r) m)
5,77.99782100000016,0.125,DEF run m( REPEAT R=4 r( turnLeft WHILE c( frontIsClear c) w( move w) r) WHILE c( leftIsClear c) w( turnRight w) m)
6,78.45461399999999,0.0625,DEF run m( WHILE c( noMarkersPresent c) w( move w) turnRight IF c( leftIsClear c) i( turnLeft move i) m)
7,79.42183100000011,0.1875,DEF run m( WHILE c( leftIsClear c) w( move move turnLeft move move turnRight putMarker w) m)
8,76.90823500000033,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,78.02748900000006,0.125,DEF run m( move move putMarker move move turnLeft move move IF c( noMarkersPresent c) i( move i) move move move turnLeft move move move m)
10,76.90071500000022,0.0625,DEF run m( move IF c( rightIsClear c) i( move i) WHILE c( noMarkersPresent c) w( move w) m)
11,87.39241600000014,0.125,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
12,77.86219099999971,0.0625,DEF run m( move IF c( frontIsClear c) i( move i) turnRight move turnRight m)
13,77.30827899999986,0.125,DEF run m( move putMarker turnLeft turnLeft IF c( frontIsClear c) i( move turnRight i) WHILE c( rightIsClear c) w( move move w) m)
14,77.94083200000023,0.1875,DEF run m( move move turnLeft move move turnRight move WHILE c( frontIsClear c) w( move w) turnRight move turnLeft turnRight move turnRight move turnRight m)
15,77.50053499999967,0.125,DEF run m( move putMarker move turnLeft move move turnRight move move pickMarker move move move move move move move putMarker move move move move pickMarker move move move move m)
16,77.97923900000023,0.0625,DEF run m( IF c( rightIsClear c) i( move turnRight i) move REPEAT R=1 r( move move putMarker r) m)
17,77.58514400000013,0.0625,DEF run m( WHILE c( frontIsClear c) w( move w) WHILE c( not c( frontIsClear c) c) w( turnLeft w) move move m)
18,77.96147399999973,0.125,DEF run m( REPEAT R=10 r( turnRight WHILE c( frontIsClear c) w( move turnLeft w) r) m)
19,77.8407229999998,0.125,DEF run m( move turnLeft putMarker turnLeft move turnRight move move putMarker move IF c( frontIsClear c) i( move i) move turnLeft move m)
20,78.1089509999997,0.125,DEF run m( move REPEAT R=5 r( move turnLeft move move turnRight move move r) move move m)
