Seed:,Runtime:,Reward of Final Program:,Final program:
1,133.11724800000047,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,130.08123499999965,0.375,DEF run m( WHILE c( markersPresent c) w( turnRight putMarker w) turnLeft WHILE c( frontIsClear c) w( move w) m)
3,130.10285599999952,0.375,DEF run m( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( move turnRight e) WHILE c( frontIsClear c) w( move w) WHILE c( markersPresent c) w( turnRight w) m)
4,131.2014139999992,0.375,DEF run m( REPEAT R=1 r( IFELSE c( frontIsClear c) i( turnLeft i) ELSE e( turnRight e) r) WHILE c( frontIsClear c) w( move w) m)
5,134.1474959999996,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) turnRight move WHILE c( not c( markersPresent c) c) w( move w) move m)
6,133.50396600000022,0.4375,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( turnLeft w) turnRight move r) m)
7,134.27824300000066,0.375,DEF run m( turnLeft move WHILE c( frontIsClear c) w( move w) turnLeft move m)
8,132.33671099999992,0.5625,DEF run m( REPEAT R=5 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
9,130.43122799999946,0.375,DEF run m( REPEAT R=7 r( turnRight r) move WHILE c( noMarkersPresent c) w( move w) m)
10,134.46426400000018,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( putMarker move w) m)
11,131.02746599999955,0.375,DEF run m( REPEAT R=1 r( turnLeft r) putMarker WHILE c( frontIsClear c) w( move w) turnLeft m)
12,135.29251499999918,0.375,DEF run m( WHILE c( rightIsClear c) w( move w) turnLeft IF c( not c( frontIsClear c) c) i( move i) WHILE c( frontIsClear c) w( move w) m)
13,133.85596299999997,0.375,DEF run m( turnLeft WHILE c( noMarkersPresent c) w( move w) IFELSE c( frontIsClear c) i( putMarker i) ELSE e( move e) m)
14,131.02206099999967,0.375,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( move w) WHILE c( markersPresent c) w( move turnRight w) m)
15,132.08946599999945,0.375,DEF run m( IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( REPEAT R=4 r( move r) e) WHILE c( noMarkersPresent c) w( move w) m)
16,132.7737849999994,0.375,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) move WHILE c( frontIsClear c) w( move w) putMarker m)
17,134.16643000000113,0.375,DEF run m( turnLeft WHILE c( leftIsClear c) w( turnRight w) WHILE c( frontIsClear c) w( move w) m)
18,132.075479000001,0.625,DEF run m( WHILE c( noMarkersPresent c) w( IF c( leftIsClear c) i( turnLeft i) move turnRight w) m)
19,130.76600999999937,0.375,DEF run m( REPEAT R=7 r( putMarker r) turnLeft WHILE c( frontIsClear c) w( move w) m)
20,129.8880079999999,0.375,DEF run m( turnLeft move IF c( leftIsClear c) i( putMarker i) move WHILE c( noMarkersPresent c) w( move w) m)
