Seed:,Runtime:,Reward of Final Program:,Final program:
1,121.082551,0.625,DEF run m( IF c( frontIsClear c) i( turnRight pickMarker i) turnLeft move turnRight putMarker move pickMarker m)
2,123.37340599999999,0.625,DEF run m( IF c( frontIsClear c) i( move i) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
3,125.55532199999999,0.625,DEF run m( REPEAT R=1 r( turnLeft move r) IFELSE c( noMarkersPresent c) i( turnRight i) ELSE e( move e) move m)
4,122.96565500000003,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight WHILE c( frontIsClear c) w( move w) m)
5,122.724334,0.625,DEF run m( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft move e) turnRight move turnRight m)
6,120.86835400000007,0.625,DEF run m( turnLeft move IFELSE c( noMarkersPresent c) i( turnRight move i) ELSE e( turnRight e) putMarker m)
7,121.98177600000008,0.625,DEF run m( turnLeft IF c( frontIsClear c) i( move i) turnRight putMarker move m)
8,123.84232899999995,0.625,DEF run m( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight IF c( noMarkersPresent c) i( move i) m)
9,124.6240029999999,0.625,DEF run m( turnLeft move turnRight putMarker move move m)
10,124.04578199999992,0.625,DEF run m( IFELSE c( frontIsClear c) i( putMarker i) ELSE e( turnLeft move e) turnRight move m)
11,127.18415100000016,0.625,DEF run m( turnLeft IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( putMarker e) move turnRight m)
12,123.18445100000008,0.625,DEF run m( WHILE c( rightIsClear c) w( turnRight w) turnLeft move turnRight IF c( rightIsClear c) i( move i) m)
13,127.18744700000002,0.625,DEF run m( IF c( frontIsClear c) i( move i) turnLeft move turnRight move m)
14,122.89425899999992,0.625,DEF run m( IF c( frontIsClear c) i( putMarker turnRight i) turnLeft move turnRight move m)
15,126.53865800000017,0.625,DEF run m( turnLeft move turnRight putMarker WHILE c( markersPresent c) w( move w) turnRight m)
16,122.73935300000016,0.625,DEF run m( REPEAT R=1 r( turnLeft r) move turnRight WHILE c( markersPresent c) w( move w) putMarker move m)
17,123.35271499999999,0.625,DEF run m( turnLeft move IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( turnRight move e) move turnRight m)
18,125.18010999999979,0.625,DEF run m( IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( turnRight e) move turnRight WHILE c( rightIsClear c) w( move w) m)
19,121.86118099999976,0.625,DEF run m( putMarker IFELSE c( leftIsClear c) i( turnLeft move i) ELSE e( move turnLeft e) turnRight move m)
20,124.66607400000021,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
