Seed:,Runtime:,Reward of Final Program:,Final program:
1,191.0,1.0,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft move turnRight IF c( noMarkersPresent c) i( move i) w) m)
2,191.453125,0.625,DEF run m( IF c( leftIsClear c) i( REPEAT R=3 r( turnRight r) i) WHILE c( frontIsClear c) w( move turnRight w) m)
3,190.5625,0.9375,DEF run m( REPEAT R=8 r( WHILE c( not c( frontIsClear c) c) w( turnLeft w) move turnRight r) WHILE c( frontIsClear c) w( move w) m)
4,190.875,0.625,DEF run m( turnLeft move IF c( noMarkersPresent c) i( turnRight i) move move turnRight m)
5,190.4375,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move e) WHILE c( rightIsClear c) w( turnRight move w) w) m)
6,190.671875,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,189.71875,1.0,DEF run m( REPEAT R=7 r( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight r) m)
8,189.78125,1.0,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft e) w) m)
9,190.109375,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
10,190.296875,0.625,DEF run m( turnLeft move turnRight move turnLeft m)
11,192.390625,0.625,DEF run m( turnLeft move turnRight putMarker move turnLeft m)
12,190.25,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move turnLeft m)
13,190.203125,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,190.75,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,190.15625,0.9375,DEF run m( REPEAT R=16 r( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft WHILE c( rightIsClear c) w( move w) e) r) m)
16,190.671875,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,191.359375,0.625,DEF run m( IFELSE c( rightIsClear c) i( move pickMarker i) ELSE e( turnLeft e) move turnRight WHILE c( rightIsClear c) w( move w) m)
18,216.359375,0.875,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( rightIsClear c) i( turnRight i) ELSE e( turnLeft e) move w) turnLeft move m)
19,213.53125,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight move putMarker move m)
20,224.25,0.625,DEF run m( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) move turnRight move m)
