Seed:,Runtime:,Reward of Final Program:,Final program:
1,130.536034,1.0,DEF run m( REPEAT R=5 r( turnLeft putMarker move turnRight move r) m)
2,131.05149199999997,0.625,DEF run m( turnLeft move turnRight IFELSE c( rightIsClear c) i( move i) ELSE e( turnLeft e) putMarker m)
3,131.45522400000004,0.625,DEF run m( REPEAT R=1 r( turnLeft move r) IFELSE c( noMarkersPresent c) i( turnRight i) ELSE e( move e) move m)
4,131.07040800000004,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight WHILE c( frontIsClear c) w( move w) m)
5,133.59529900000007,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move WHILE c( markersPresent c) w( turnLeft w) w) m)
6,131.44955400000003,1.0,DEF run m( REPEAT R=7 r( turnLeft move turnRight move r) m)
7,132.78395899999998,0.75,DEF run m( turnLeft move IFELSE c( leftIsClear c) i( turnRight i) ELSE e( turnLeft e) move turnLeft move turnRight move m)
8,132.33656399999995,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
9,132.194256,0.875,DEF run m( REPEAT R=3 r( turnLeft move turnRight move WHILE c( frontIsClear c) w( move move w) r) move move m)
10,131.80101799999989,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
11,132.7662620000001,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
12,131.88853399999994,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
13,130.48012499999982,1.0,DEF run m( REPEAT R=18 r( turnRight IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( markersPresent c) w( turnRight move w) r) m)
14,131.349919,1.0,DEF run m( REPEAT R=10 r( turnLeft WHILE c( frontIsClear c) w( move turnRight w) r) m)
15,130.28824800000007,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) m)
16,132.2803080000001,1.0,DEF run m( WHILE c( noMarkersPresent c) w( IF c( rightIsClear c) i( move i) turnLeft move turnRight w) m)
17,132.16302899999982,1.0,DEF run m( REPEAT R=7 r( turnLeft move turnRight move r) m)
18,131.05524800000012,1.0,DEF run m( REPEAT R=10 r( turnLeft WHILE c( frontIsClear c) w( move turnRight w) r) m)
19,130.6294130000001,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) m)
20,132.81754999999976,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
