Seed:,Runtime:,Reward of Final Program:,Final program:
1,168.5625,0.625,DEF run m( IF c( frontIsClear c) i( turnRight pickMarker i) turnLeft move turnRight putMarker move pickMarker m)
2,167.96875,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move m)
3,168.890625,0.625,DEF run m( REPEAT R=1 r( turnLeft move r) IFELSE c( noMarkersPresent c) i( turnRight i) ELSE e( move e) move m)
4,168.703125,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight WHILE c( frontIsClear c) w( move w) m)
5,171.078125,0.8125,DEF run m( REPEAT R=3 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( move turnRight w) r) m)
6,166.78125,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) m)
7,167.90625,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
8,168.25,1.0,DEF run m( WHILE c( rightIsClear c) w( move w) WHILE c( leftIsClear c) w( turnLeft move turnRight move w) m)
9,168.734375,0.625,DEF run m( turnLeft move turnRight putMarker move move m)
10,168.8125,1.0,DEF run m( WHILE c( leftIsClear c) w( IFELSE c( frontIsClear c) i( pickMarker turnRight i) ELSE e( turnLeft move turnRight move e) w) m)
11,169.984375,0.625,DEF run m( turnLeft IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( putMarker e) move turnRight m)
12,168.078125,0.625,DEF run m( WHILE c( rightIsClear c) w( turnRight w) turnLeft move turnRight IF c( rightIsClear c) i( move i) m)
13,168.390625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,169.1875,0.8125,DEF run m( REPEAT R=3 r( turnLeft putMarker WHILE c( frontIsClear c) w( move turnRight w) r) m)
15,168.71875,0.625,DEF run m( turnLeft move turnRight putMarker WHILE c( markersPresent c) w( move w) turnRight m)
16,168.859375,0.625,DEF run m( REPEAT R=1 r( turnLeft r) move turnRight WHILE c( markersPresent c) w( move w) putMarker move m)
17,168.453125,0.625,DEF run m( turnLeft move IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( turnRight move e) move turnRight m)
18,169.390625,0.625,DEF run m( IFELSE c( noMarkersPresent c) i( turnLeft i) ELSE e( turnRight e) move turnRight WHILE c( rightIsClear c) w( move w) m)
19,169.484375,0.8125,DEF run m( REPEAT R=2 r( turnLeft move turnRight move r) m)
20,168.40625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
