Seed:,Runtime:,Reward of Final Program:,Final program:
1,201.78125,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
2,203.671875,1.0,DEF run m( WHILE c( markersPresent c) w( move w) turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
3,203.71875,1.0,DEF run m( turnLeft move turnRight move REPEAT R=10 r( turnLeft move turnRight move r) turnRight move m)
4,203.8125,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
5,202.734375,0.8125,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
6,201.296875,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight IF c( frontIsClear c) i( move i) w) m)
7,203.15625,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
8,202.484375,1.0,DEF run m( REPEAT R=8 r( turnLeft move turnRight move r) turnRight m)
9,205.171875,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) WHILE c( leftIsClear c) w( turnRight move w) m)
10,205.390625,1.0,DEF run m( turnLeft turnRight turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight m)
11,201.71875,1.0,DEF run m( WHILE c( not c( frontIsClear c) c) w( turnLeft move turnRight move w) m)
12,203.0625,1.0,DEF run m( REPEAT R=7 r( turnLeft move turnRight move r) putMarker m)
13,202.796875,0.8125,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
14,201.484375,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,203.296875,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) turnLeft turnRight m)
16,197.59375,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,205.359375,1.0,DEF run m( REPEAT R=10 r( turnLeft move turnRight move r) IF c( markersPresent c) i( move turnRight move i) REPEAT R=10 r( move turnRight move r) m)
18,201.828125,0.8125,DEF run m( turnLeft move turnRight move turnLeft IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft e) WHILE c( frontIsClear c) w( putMarker move w) turnRight m)
19,201.96875,0.8125,DEF run m( IFELSE c( rightIsClear c) i( move turnRight turnLeft move i) ELSE e( turnLeft move e) turnRight move turnLeft move turnRight move m)
20,202.484375,0.875,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
