Seed:,Runtime:,Reward of Final Program:,Final program:
1,127.35012499999999,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) move turnLeft m)
2,125.431612,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
3,126.52731699999998,1.0,DEF run m( REPEAT R=5 r( turnLeft putMarker move turnRight move putMarker r) move turnRight move turnLeft turnRight move m)
4,127.910754,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight WHILE c( frontIsClear c) w( move w) m)
5,125.70882600000004,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) move turnRight move move m)
6,129.427139,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) m)
7,128.93408999999997,1.0,DEF run m( turnLeft move turnRight turnRight move turnRight turnRight move REPEAT R=8 r( turnRight move turnLeft move r) turnRight move WHILE c( rightIsClear c) w( turnRight move w) turnRight move turnLeft m)
8,125.36558300000002,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move IF c( frontIsClear c) i( move turnLeft i) w) m)
9,127.50077899999997,1.0,DEF run m( turnLeft move turnRight move REPEAT R=16 r( turnLeft move turnRight move r) turnRight move turnLeft m)
10,126.82769899999994,1.0,DEF run m( turnLeft turnRight REPEAT R=14 r( turnLeft move turnRight move r) move turnRight move m)
11,125.961049,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
12,126.07670200000007,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft turnRight move turnRight move turnLeft turnRight move turnRight move turnLeft turnRight move turnRight m)
13,126.04041499999994,1.0,DEF run m( REPEAT R=14 r( turnLeft move turnRight move r) m)
14,126.98535399999992,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight putMarker move w) putMarker move turnRight move putMarker move turnRight putMarker move m)
15,126.676199,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
16,126.17586299999994,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) turnRight move move turnRight m)
17,127.10359499999981,0.625,DEF run m( turnLeft move IFELSE c( frontIsClear c) i( turnRight putMarker i) ELSE e( turnRight move e) move turnRight m)
18,126.5196249999999,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
19,128.04438500000015,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
20,124.91968600000018,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
