Seed:,Runtime:,Reward of Final Program:,Final program:
1,278.890625,0.625,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( turnRight move w) m)
2,278.96875,0.625,DEF run m( IF c( frontIsClear c) i( move i) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
3,276.390625,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move pickMarker i) m)
4,278.625,0.625,DEF run m( turnLeft move IF c( noMarkersPresent c) i( turnRight i) move move turnRight m)
5,280.90625,0.625,DEF run m( REPEAT R=0 r( move r) turnLeft WHILE c( noMarkersPresent c) w( move turnRight w) m)
6,277.296875,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,281.21875,0.625,DEF run m( turnLeft move turnRight IF c( rightIsClear c) i( move i) pickMarker m)
8,283.0,0.8125,DEF run m( REPEAT R=3 r( WHILE c( frontIsClear c) w( move w) turnLeft move turnRight r) m)
9,278.84375,0.625,DEF run m( turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
10,277.90625,0.625,DEF run m( turnLeft move turnRight move turnLeft m)
11,278.328125,0.625,DEF run m( turnLeft move turnRight putMarker move turnLeft m)
12,277.703125,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move turnLeft m)
13,279.40625,0.625,DEF run m( WHILE c( rightIsClear c) w( move w) IF c( markersPresent c) i( turnRight i) turnLeft move turnRight move m)
14,278.015625,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,280.8125,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move move w) m)
16,279.984375,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,281.71875,0.625,DEF run m( IFELSE c( rightIsClear c) i( move pickMarker i) ELSE e( turnLeft e) move turnRight WHILE c( rightIsClear c) w( move w) m)
18,277.859375,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move i) m)
19,278.703125,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight move putMarker move m)
20,279.921875,0.625,DEF run m( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) move turnRight move m)
