Seed:,Runtime:,Reward of Final Program:,Final program:
1,95.765625,0.625,DEF run m( turnLeft move WHILE c( noMarkersPresent c) w( turnRight move w) m)
2,96.921875,0.625,DEF run m( IF c( leftIsClear c) i( REPEAT R=3 r( turnRight r) i) WHILE c( frontIsClear c) w( move turnRight w) m)
3,96.15625,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move pickMarker i) m)
4,96.015625,0.625,DEF run m( turnLeft move IF c( noMarkersPresent c) i( turnRight i) move move turnRight m)
5,95.96875,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft IFELSE c( not c( frontIsClear c) c) i( move i) ELSE e( move e) WHILE c( rightIsClear c) w( turnRight move w) w) m)
6,98.25,0.625,DEF run m( turnLeft move turnRight WHILE c( rightIsClear c) w( move w) move turnRight m)
7,95.515625,0.625,DEF run m( turnLeft move turnRight IF c( rightIsClear c) i( move i) pickMarker m)
8,96.046875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft e) w) m)
9,100.96875,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight WHILE c( frontIsClear c) w( move w) w) m)
10,102.4375,0.625,DEF run m( turnLeft move turnRight move turnLeft m)
11,101.046875,0.625,DEF run m( turnLeft move turnRight putMarker move turnLeft m)
12,96.359375,0.625,DEF run m( IFELSE c( frontIsClear c) i( move i) ELSE e( turnLeft move e) turnRight move turnLeft m)
13,96.140625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( turnLeft move turnRight move w) m)
14,96.125,0.625,DEF run m( turnLeft move turnRight WHILE c( frontIsClear c) w( move turnRight w) IF c( not c( leftIsClear c) c) i( putMarker turnRight i) m)
15,96.234375,0.9375,DEF run m( REPEAT R=16 r( IFELSE c( frontIsClear c) i( move turnRight i) ELSE e( turnLeft WHILE c( rightIsClear c) w( move w) e) r) m)
16,95.8125,0.625,DEF run m( WHILE c( frontIsClear c) w( turnRight move w) turnLeft WHILE c( frontIsClear c) w( move turnRight w) m)
17,96.5,0.625,DEF run m( IFELSE c( rightIsClear c) i( move pickMarker i) ELSE e( turnLeft e) move turnRight WHILE c( rightIsClear c) w( move w) m)
18,96.0,0.625,DEF run m( turnLeft move turnRight IF c( frontIsClear c) i( move i) m)
19,95.78125,0.625,DEF run m( IF c( leftIsClear c) i( turnLeft i) move turnRight move putMarker move m)
20,96.390625,0.625,DEF run m( IFELSE c( frontIsClear c) i( turnRight i) ELSE e( turnLeft e) move turnRight move m)
