Seed:,Runtime:,Reward of Final Program:,Final program:
1,306.609375,1.0,DEF run m( REPEAT R=5 r( turnLeft move turnRight move r) turnRight m)
2,296.796875,0.625,DEF run m( IF c( frontIsClear c) i( move i) turnLeft putMarker move turnRight move IF c( markersPresent c) i( turnLeft move i) m)
3,305.53125,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
4,288.296875,0.875,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move putMarker m)
5,286.84375,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) move turnRight m)
6,289.65625,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight m)
7,290.375,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) turnRight m)
8,290.484375,1.0,DEF run m( WHILE c( leftIsClear c) w( turnLeft move turnRight move w) move turnLeft WHILE c( rightIsClear c) w( move turnRight w) turnLeft turnLeft turnLeft m)
9,288.734375,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
10,288.71875,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
11,289.71875,1.0,DEF run m( REPEAT R=7 r( turnLeft move turnRight move turnLeft move turnRight move REPEAT R=7 r( turnLeft move turnRight move r) turnLeft move turnRight move r) turnLeft move m)
12,289.09375,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move m)
13,287.21875,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
14,288.203125,1.0,DEF run m( turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
15,283.046875,0.8125,DEF run m( turnRight turnRight turnRight move turnRight move turnRight turnRight move turnRight turnRight move turnRight turnRight turnRight move turnRight turnRight turnRight turnRight turnRight move turnRight m)
16,287.4375,0.8125,DEF run m( turnLeft IF c( frontIsClear c) i( turnRight i) turnLeft move turnRight move turnLeft move turnRight move turnLeft move m)
17,291.265625,1.0,DEF run m( turnLeft turnRight turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft move turnRight move turnLeft m)
18,288.453125,1.0,DEF run m( turnLeft move turnRight REPEAT R=5 r( move turnLeft IF c( frontIsClear c) i( move turnRight i) r) m)
19,287.84375,1.0,DEF run m( REPEAT R=8 r( turnRight turnRight WHILE c( rightIsClear c) w( turnRight move w) r) m)
20,289.015625,1.0,DEF run m( REPEAT R=11 r( IF c( rightIsClear c) i( move i) turnLeft move turnRight r) m)
